pdb_id	idp_uniprot	receptor_uniprot	chain	chain_id	domain_name	domain_id	domain_location	max_sequence_overlap	perc_sequence_overlap_pdb	perc_max_overlap_domain	max_interacting_residues	perc_interacting_residues
6C90	Q6NZY4:4:49:659	P42285:4:530:71;P42285:535:200:843	receptor	A	DEAD/DEAH box helicase	PF00270	143-290	148	0.20786516853932585	1.0	31	0.4305555555555556
6C90	Q6NZY4:4:49:659	P42285:4:530:71;P42285:535:200:843	receptor	A	Helicase conserved C-terminal domain	PF00271	447-528	82	0.1151685393258427	1.0	9	0.125
6C90	Q6NZY4:4:49:659	P42285:4:530:71;P42285:535:200:843	receptor	A	DSHCT (NUC185) domain	PF08148	868-1037	170	0.23876404494382023	1.0	9	0.125
6H9N	P0A6S5:22:82:22	P06136:2:219:58	idp	B	Septum formation initiator	PF04977	11-89	24	1.0	0.3037974683544304	16	1.0
6H9N	P0A6S5:22:82:22	P06136:2:219:58	receptor	A	Cell division protein FtsQ/DivIB, C-terminal	PF03799	130-247	118	0.5812807881773399	1.0	16	0.64
6J56	O60784:1:5:437;O60784:7:21:442	Q9UM54:1:129:1166	receptor	A	Myosin VI cargo binding domain	PF16521	1177-1267	91	0.728	1.0	24	1.0
6J4P	Q8N300:1:66:1	Q86V25:1:251:46	idp	B	Coiled-coil domain-containing protein 23	PF15674	4-64	44	1.0	0.7213114754098361	24	1.0
6J4P	Q8N300:1:66:1	Q86V25:1:251:46	receptor	A	Vasohibin	PF14822	48-291	244	0.991869918699187	1.0	40	1.0
6L8G	Q2G285:1:38:46	Q2G286:1:88:1	idp	A	Antitoxin Phd_YefM, type II toxin-antitoxin system	PF02604	1-74	29	0.7631578947368421	0.3918918918918919	20	0.6896551724137931
6L8G	Q2G285:1:38:46	Q2G286:1:88:1	receptor	B	YoeB-like toxin of bacterial type II toxin-antitoxin system	PF06769	8-88	81	0.9310344827586207	1.0	33	0.8461538461538461
6M64	Q92793:2:23:1951	Q15796:3:203:262	receptor	E	MH2 domain	PF03166	273-443	171	0.8860103626943006	1.0	14	0.7
6MJC	Q6FKQ5:4:25:31	Q6FVN3:4:113:69	receptor	A	Chromosome segregation protein Csm1/Pcs1	PF12539	73-163	91	0.8125	1.0	25	0.8064516129032258
6QNP	Q9NYZ3:1:67:653	Q00610:1:364:1	receptor	B	Clathrin propeller repeat	PF01394	198-234	37	0.10277777777777777	1.0	8	0.18604651162790697
6TQP	Q9BXH1:1:26:130	Q9DHU6:6:147:1	idp	B	Bcl-2-binding component 3, p53 upregulated modulator of apoptosis	PF15826	2-193	26	1.0	0.13541666666666666	21	1.0
6TQP	Q9BXH1:1:26:130	Q9DHU6:6:147:1	receptor	A	Apoptosis regulator M11L like	PF11099	12-168	133	0.9366197183098591	0.8471337579617835	34	1.0
6UEB	P16286:6:37:51	P16289:1:2127:1	idp	B	Phosphoprotein	PF03012	1-296	42	1.0	0.14189189189189189	37	1.0
6UEB	P16286:6:37:51	P16289:1:2127:1	receptor	A	Mononegavirales RNA dependent RNA polymerase	PF00946	35-1083	1049	0.4997617913292044	1.0	28	0.4
6UEB	P16286:6:37:51	P16289:1:2127:1	receptor	A	Virus-capping methyltransferase, connector domain	PF21080	1376-1577	202	0.09623630300142925	1.0	17	0.24285714285714285
6UEB	P16286:6:37:51	P16289:1:2127:1	receptor	A	Virus-capping methyltransferase, C-terminal	PF21081	1928-2051	124	0.05907575035731301	1.0	20	0.2857142857142857
7FB5	Q9H6L5:1:26:451	Q9DCD6:1:117:1	receptor	A	Autophagy protein Atg8 ubiquitin like	PF02991	13-116	104	0.8888888888888888	1.0	24	1.0
7LWB	Q969X0:5:49:117	P61006:4:181:1	idp	D	Rab interacting lysosomal protein	PF11461	134-203	28	0.7567567567567568	0.4	13	1.0
7LWB	Q969X0:5:49:117	P61006:4:181:1	receptor	A	Ras family	PF00071	10-170	103	0.5659340659340659	0.639751552795031	9	0.5625
7NDX	Q9Y266:1:42:100	P25685:1:184:157	idp	B	Nuclear distribution C domain	PF16273	96-156	27	1.0	0.4426229508196721	14	1.0
7NDX	Q9Y266:1:42:100	P25685:1:184:157	receptor	A	DnaJ C terminal domain	PF01556	165-323	159	0.8932584269662921	1.0	17	0.9444444444444444
7OG1	Q0JRZ9:6:131:314	P63010:1:591:1	receptor	BBB	Adaptin N terminal region	PF01602	12-533	521	0.9108391608391608	0.9980842911877394	37	0.925
7QV8	A4HYJ9:3:33:108	A4I3C9:3:227:134	idp	D	BRCA2 repeat	PF00634	110-131	20	0.8695652173913043	0.9090909090909091	14	0.9333333333333333
7QV8	A4HYJ9:3:33:108	A4I3C9:3:227:134	receptor	A	Rad51	PF08423	132-374	101	0.4488888888888889	0.4156378600823045	18	0.75
7T7T	P59226:1:45:2	A0A2H5Q1B8:42:490:1	receptor	A	Tetratricopeptide repeat	PF13181	166-195	30	0.062111801242236024	1.0	5	0.06329113924050633
7T7T	P59226:1:45:2	A0A2H5Q1B8:42:490:1	receptor	A	Tetratricopeptide repeat	PF13424	209-279	71	0.14699792960662525	1.0	16	0.20253164556962025
7V0K	P02724:1:150:1	P02730:1:911:1	idp	D	Glycophorin A	PF01102	34-146	40	1.0	0.35398230088495575	23	1.0
7V0K	P02724:1:150:1	P02730:1:911:1	receptor	P	HCO3- transporter integral membrane domain	PF00955	378-554	177	0.2046242774566474	1.0	10	0.3448275862068966
7V0K	P02724:1:150:1	P02730:1:911:1	receptor	P	HCO3- transporter integral membrane domain	PF00955	565-889	325	0.37572254335260113	1.0	18	0.6206896551724138
7XV1	Q8NG08:6:24:496	P27694:1:120:1	idp	B	AAA domain	PF13604	454-670	24	0.8275862068965517	0.11059907834101383	16	1.0
7XV1	Q8NG08:6:24:496	P27694:1:120:1	receptor	A	Replication factor-A protein 1, N-terminal domain	PF04057	5-104	100	0.8333333333333334	1.0	23	0.9583333333333334
8UC6	P53990:1:45:320	Q9Y6W3:1:165:1	receptor	B	MIT (microtubule interacting and transport) domain	PF04212	9-68	60	0.38961038961038963	1.0	19	0.475
8UC6	P53990:1:45:320	Q9Y6W3:1:165:1	receptor	B	MIT (microtubule interacting and transport) domain	PF04212	87-152	66	0.42857142857142855	1.0	19	0.475
